Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-16-32,0.005678,424
2024-07-11_14-14-24,0.005651,402
2024-07-10_15-40-03,0.005661,507
2024-07-10_15-51-48,0.005642,306
2024-07-10_15-52-36,0.005652,277
2024-07-10_15-43-56,0.005680,354
2024-07-11_14-12-14,0.005685,468
2024-07-11_14-19-12,0.005670,344
2024-07-10_15-44-58,0.005630,360
2024-07-11_14-02-35,0.005697,577
2024-07-11_14-10-53,0.005724,547
2024-07-10_15-40-53,0.005654,392
2024-07-10_15-54-07,0.005686,288
2024-07-11_14-13-12,0.005668,485
2024-07-11_14-05-35,0.005673,424
2024-07-11_14-17-18,0.005642,400
2024-07-10_15-53-12,0.005650,296
2024-07-11_14-06-07,0.005671,430
2024-07-10_15-51-45,0.005651,279
2024-07-10_15-38-54,0.005668,441
2024-07-10_15-51-21,0.005644,318
2024-07-11_14-04-22,0.005708,531
2024-07-11_14-17-59,0.005651,334
2024-07-10_15-52-37,0.005651,285
2024-07-10_15-50-55,0.005659,312
2024-07-10_15-48-15,0.005669,316
2024-07-10_15-43-03,0.005638,313
2024-07-11_14-15-08,0.005666,394
2024-07-11_14-13-51,0.005677,435
2024-07-11_14-18-28,0.005688,374
2024-07-10_15-41-46,0.005684,397
2024-07-11_14-03-31,0.005663,487
